pT,pE,fwer
0.833333,0.700000,0.0000000000
0.866667,0.700000,0.0000000000
0.900000,0.700000,0.0000000000
0.933333,0.700000,0.0000000000
0.966667,0.700000,0.0000000000
1.000000,0.700000,0.0000000000
0.000000,0.733333,nan
0.033333,0.733333,nan
0.066667,0.733333,nan
0.100000,0.733333,nan
0.133333,0.733333,nan
0.166667,0.733333,nan
0.200000,0.733333,nan
0.233333,0.733333,nan
0.266667,0.733333,nan
0.300000,0.733333,nan
0.333333,0.733333,nan
0.366667,0.733333,nan
0.400000,0.733333,0.0465131994
0.433333,0.733333,0.0169620911
0.466667,0.733333,0.0052791097
0.500000,0.733333,0.0013953736
0.533333,0.733333,0.0003116250
0.566667,0.733333,0.0000585667
0.600000,0.733333,0.0000092564
0.633333,0.733333,0.0000012354
0.666667,0.733333,0.0000001400
0.700000,0.733333,0.0000000134
0.733333,0.733333,0.0000000010
0.766667,0.733333,0.0000000001
0.800000,0.733333,0.0000000000
0.833333,0.733333,0.0000000000
0.866667,0.733333,0.0000000000
0.900000,0.733333,0.0000000000
0.933333,0.733333,0.0000000000
0.966667,0.733333,0.0000000000
1.000000,0.733333,0.0000000000
0.000000,0.766667,nan
0.033333,0.766667,nan
0.066667,0.766667,nan
0.100000,0.766667,nan
0.133333,0.766667,nan
0.166667,0.766667,nan
0.200000,0.766667,nan
0.233333,0.766667,nan
0.266667,0.766667,nan
0.300000,0.766667,nan
0.333333,0.766667,nan
0.366667,0.766667,nan
0.400000,0.766667,0.0465131994
0.433333,0.766667,0.0169620911
0.466667,0.766667,0.0052791097
0.500000,0.766667,0.0013953736
0.533333,0.766667,0.0003116250
0.566667,0.766667,0.0000585667
0.600000,0.766667,0.0000092564
0.633333,0.766667,0.0000012354
0.666667,0.766667,0.0000001400
0.700000,0.766667,0.0000000134
0.733333,0.766667,0.0000000010
0.766667,0.766667,0.0000000001
0.800000,0.766667,0.0000000000
0.833333,0.766667,0.0000000000
0.866667,0.766667,0.0000000000
0.900000,0.766667,0.0000000000
0.933333,0.766667,0.0000000000
0.966667,0.766667,0.0000000000
1.000000,0.766667,0.0000000000
0.000000,0.800000,nan
0.033333,0.800000,nan
0.066667,0.800000,nan
0.100000,0.800000,nan
0.133333,0.800000,nan
0.166667,0.800000,nan
0.200000,0.800000,nan
0.233333,0.800000,nan
0.266667,0.800000,nan
0.300000,0.800000,nan
0.333333,0.800000,nan
0.366667,0.800000,nan
0.400000,0.800000,0.0465131994
0.433333,0.800000,0.0169620911
0.466667,0.800000,0.0052791097
0.500000,0.800000,0.0013953736
0.533333,0.800000,0.0003116250
0.566667,0.800000,0.0000585667
0.600000,0.800000,0.0000092564
0.633333,0.800000,0.0000012354
0.666667,0.800000,0.0000001400
0.700000,0.800000,0.0000000134
0.733333,0.800000,0.0000000010
0.766667,0.800000,0.0000000001
0.800000,0.800000,0.0000000000
0.833333,0.800000,0.0000000000
0.866667,0.800000,0.0000000000
0.900000,0.800000,0.0000000000
0.933333,0.800000,0.0000000000
0.966667,0.800000,0.0000000000
1.000000,0.800000,0.0000000000
0.000000,0.833333,nan
0.033333,0.833333,nan
0.066667,0.833333,nan
0.100000,0.833333,nan
0.133333,0.833333,nan
0.166667,0.833333,nan
0.200000,0.833333,nan
0.233333,0.833333,nan
0.266667,0.833333,nan
0.300000,0.833333,nan
0.333333,0.833333,nan
0.366667,0.833333,nan
0.400000,0.833333,0.0465131994
0.433333,0.833333,0.0169620911
0.466667,0.833333,0.0052791097
0.500000,0.833333,0.0013953736
0.533333,0.833333,0.0003116250
0.566667,0.833333,0.0000585667
0.600000,0.833333,0.0000092564
0.633333,0.833333,0.0000012354
0.666667,0.833333,0.0000001400
0.700000,0.833333,0.0000000134
0.733333,0.833333,0.0000000010
0.766667,0.833333,0.0000000001
0.800000,0.833333,0.0000000000
0.833333,0.833333,0.0000000000
0.866667,0.833333,0.0000000000
0.900000,0.833333,0.0000000000
0.933333,0.833333,0.0000000000
0.966667,0.833333,0.0000000000
1.000000,0.833333,0.0000000000
0.000000,0.866667,nan
0.033333,0.866667,nan
0.066667,0.866667,nan
0.100000,0.866667,nan
0.133333,0.866667,nan
0.166667,0.866667,nan
0.200000,0.866667,nan
0.233333,0.866667,nan
0.266667,0.866667,nan
0.300000,0.866667,nan
0.333333,0.866667,nan
0.366667,0.866667,nan
0.400000,0.866667,0.0465131994
0.433333,0.866667,0.0169620911
0.466667,0.866667,0.0052791097
0.500000,0.866667,0.0013953736
0.533333,0.866667,0.0003116250
0.566667,0.866667,0.0000585667
0.600000,0.866667,0.0000092564
0.633333,0.866667,0.0000012354
0.666667,0.866667,0.0000001400
0.700000,0.866667,0.0000000134
0.733333,0.866667,0.0000000010
0.766667,0.866667,0.0000000001
0.800000,0.866667,0.0000000000
0.833333,0.866667,0.0000000000
0.866667,0.866667,0.0000000000
0.900000,0.866667,0.0000000000
0.933333,0.866667,0.0000000000
0.966667,0.866667,0.0000000000
1.000000,0.866667,0.0000000000
0.000000,0.900000,nan
0.033333,0.900000,nan
0.066667,0.900000,nan
0.100000,0.900000,nan
0.133333,0.900000,nan
0.166667,0.900000,nan
0.200000,0.900000,nan
0.233333,0.900000,nan
0.266667,0.900000,nan
0.300000,0.900000,nan
0.333333,0.900000,nan
0.366667,0.900000,nan
0.400000,0.900000,0.0465131994
0.433333,0.900000,0.0169620911
0.466667,0.900000,0.0052791097
0.500000,0.900000,0.0013953736
0.533333,0.900000,0.0003116250
0.566667,0.900000,0.0000585667
0.600000,0.900000,0.0000092564
0.633333,0.900000,0.0000012354
0.666667,0.900000,0.0000001400
0.700000,0.900000,0.0000000134
0.733333,0.900000,0.0000000010
0.766667,0.900000,0.0000000001
0.800000,0.900000,0.0000000000
0.833333,0.900000,0.0000000000
0.866667,0.900000,0.0000000000
0.900000,0.900000,0.0000000000
0.933333,0.900000,0.0000000000
0.966667,0.900000,0.0000000000
1.000000,0.900000,0.0000000000
0.000000,0.933333,nan
0.033333,0.933333,nan
0.066667,0.933333,nan
0.100000,0.933333,nan
0.133333,0.933333,nan
0.166667,0.933333,nan
0.200000,0.933333,nan
0.233333,0.933333,nan
0.266667,0.933333,nan
0.300000,0.933333,nan
0.333333,0.933333,nan
0.366667,0.933333,nan
0.400000,0.933333,0.0465131994
0.433333,0.933333,0.0169620911
0.466667,0.933333,0.0052791097
0.500000,0.933333,0.0013953736
0.533333,0.933333,0.0003116250
0.566667,0.933333,0.0000585667
0.600000,0.933333,0.0000092564
0.633333,0.933333,0.0000012354
0.666667,0.933333,0.0000001400
0.700000,0.933333,0.0000000134
0.733333,0.933333,0.0000000010
