J,alpha,target,phi_E1,phi_E0,method,source,total_n,fwer,min_g1,mean_g1,min_g2
2,0.05,0.9,0.6,0.4,ROED-EA,local exact engine,162,0.04027344961787349,0.9033288802311645,0.9339361440593553,0.9203813634678948
2,0.05,0.9,0.6,0.4,ROED-B,local exact engine,159,0.048243992917076706,0.9035661096208538,0.9349935352639531,0.9203813634678948
2,0.05,0.9,0.6,0.4,ROED,local exact engine,159,0.048243992917076706,0.9035661096208538,0.9349935352639531,0.9203813634678948
2,0.1,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",108,0.08159,0.80467,0.858765,0.84205
2,0.1,0.8,0.6,0.4,Tabata,local exact engine,112,0.09599253812650643,0.8058266470568282,0.8675574105143188,0.8388225357543333
2,0.1,0.8,0.6,0.4,ROED-EA,local exact engine,112,0.09834039212922019,0.808288054221536,0.8673695304016481,0.8258720158324229
2,0.1,0.8,0.6,0.4,ROED-B,local exact engine,107,0.09704046345076678,0.8105793040071791,0.8687315511225285,0.8426297265553365
2,0.1,0.8,0.6,0.4,ROED,local exact engine,107,0.09704046345076678,0.8105793040071791,0.8687315511225285,0.8426297265553365
2,0.1,0.9,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",148,0.08996,0.90237,0.9356883333333333,0.95137
2,0.1,0.9,0.6,0.4,Tabata,local exact engine,150,0.07758718968870226,0.9058426461972986,0.9378334156900167,0.9417596676286344
2,0.1,0.9,0.6,0.4,ROED-EA,local exact engine,148,0.09374053251613235,0.9100030107498139,0.9391379252565706,0.9323193982055971
2,0.1,0.9,0.6,0.4,ROED-B,local exact engine,144,0.09723411578575225,0.9023764719232341,0.935207499003455,0.9311900458956925
2,0.1,0.9,0.6,0.4,ROED,local exact engine,143,0.09752833121261895,0.9040938547175124,0.935823406936585,0.937521710696738
3,0.05,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",195,0.0504,0.8074,0.872761,0.85512
3,0.05,0.8,0.6,0.4,Tabata,local exact engine,213,0.04282682723794151,0.8116033736413024,0.8723942618008346,0.8303890622421713
3,0.05,0.8,0.6,0.4,ROED-EA,local exact engine,213,0.04282682723794151,0.8116033736413024,0.8723942618008346,0.8303890622421713
3,0.05,0.8,0.6,0.4,ROED-B,local exact engine,208,0.04811296250449937,0.8002261335221195,0.8647028860006977,0.8167769938871319
3,0.05,0.8,0.6,0.4,ROED,local exact engine,208,0.049953225098781306,0.8080546025658857,0.8720728745983717,0.8303890622421713
3,0.05,0.9,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",261,0.04749,0.90421,0.940541,0.94981
3,0.05,0.9,0.6,0.4,Tabata,local exact engine,273,0.047422985126563955,0.9108176523896421,0.9401836720503074,0.9395454708148574
3,0.05,0.9,0.6,0.4,ROED-EA,local exact engine,267,0.04967070194609513,0.9017586808830834,0.9363829390085245,0.9311573110313985
3,0.05,0.9,0.6,0.4,ROED-B,local exact engine,266,0.04749335260911702,0.9028851460525591,0.9362744001248323,0.9260222901425
3,0.05,0.9,0.6,0.4,ROED,local exact engine,264,0.04971131519036687,0.9009318047347221,0.9335367882266269,0.9219678399677177
3,0.1,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",177,0.10188,0.80033,0.8705849999999999,0.89727
3,0.1,0.8,0.6,0.4,Tabata,local exact engine,189,0.09090639070270101,0.8036081853780008,0.8695250010447353,0.8480981129792418
3,0.1,0.8,0.6,0.4,ROED-EA,local exact engine,183,0.09746505834707919,0.809863255261866,0.8684038777260239,0.8590845310938868
