J,alpha,target,phi_E1,phi_E0,rho,simulations,seed,scenario,kind,parameters,metric,value,average_sample_size,engine_version
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0801,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0088,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0.0009,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0.0003,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.0829,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0114,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0.002,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.0838,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.0103,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0583,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.8636,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.8042,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.8029,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.8347,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.946,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.8948,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.9215,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.031,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0032,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0004,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0786,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0096,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0.0016,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0.0002,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.0821,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0092,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0.0007,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.0775,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.007,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0537,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.8521,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.801,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.7938,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.8339,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9445,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.8911,61,1.0.0
4,0.1,0.8,0.6,0.4,0.3,10000,20470283,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.9178,61,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s0_k0,null,0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0379,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s0_k1,null,0.4;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0034,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s0_k2,null,0.4;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0003,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s0_k3,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s0_k4,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s1_k1,null,0.2;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0548,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s1_k2,null,0.2;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0053,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s1_k3,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0005,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s1_k4,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s2_k2,null,0.2;0.1;0.2;0.1;0.4;0.3;0.4;0.3,Type I error,0.0572,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s2_k3,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.3,Type I error,0.0048,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s2_k4,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s3_k3,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.3,Type I error,0.0533,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s3_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.1,Type I error,0.0017,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,H0_s4_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1,Type I error,0.018,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,W1,alternative,0.2;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Power,0.9233,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,W2,alternative,0.2;0.1;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.904,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,W3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.4;0.3,Power,0.9014,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,W4,alternative,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.3,Power,0.9446,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,P1,alternative,0.2;0.3;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.959,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,P2,alternative,0.2;0.1;0.2;0.3;0.2;0.3;0.4;0.3,Power,0.94,69,1.0.0
4,0.1,0.9,0.3,0.1,0,10000,20365554,P3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.2;0.3,Power,0.9742,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k0,null,0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0385,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k1,null,0.4;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0038,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k2,null,0.4;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0004,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k3,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0001,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k4,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k1,null,0.2;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0587,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k2,null,0.2;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0051,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k3,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0004,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k4,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s2_k2,null,0.2;0.1;0.2;0.1;0.4;0.3;0.4;0.3,Type I error,0.0551,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s2_k3,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.3,Type I error,0.0036,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s2_k4,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.1,Type I error,0.0002,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s3_k3,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.3,Type I error,0.0511,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s3_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.1,Type I error,0.0015,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,H0_s4_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1,Type I error,0.0184,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,W1,alternative,0.2;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Power,0.9195,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,W2,alternative,0.2;0.1;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9003,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,W3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.4;0.3,Power,0.9025,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,W4,alternative,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.3,Power,0.946,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,P1,alternative,0.2;0.3;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9569,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,P2,alternative,0.2;0.1;0.2;0.3;0.2;0.3;0.4;0.3,Power,0.9426,69,1.0.0
4,0.1,0.9,0.3,0.1,0.3,10000,20470283,P3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.2;0.3,Power,0.9767,69,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0182,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0014,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0446,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0028,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.049,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0031,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0.0001,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.046,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.0024,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0306,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.9379,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9031,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.9022,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.9194,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9753,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.9476,87,1.0.0
4,0.1,0.9,0.6,0.4,0,10000,20365554,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.963,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0181,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0006,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0503,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0028,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0.0004,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.0443,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0027,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.0453,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.0027,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0327,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.9255,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9004,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.9058,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.9246,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9741,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.9477,87,1.0.0
4,0.1,0.9,0.6,0.4,0.3,10000,20470283,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.9693,87,1.0.0
