J,alpha,target,phi_E1,phi_E0,repetition,elapsed_seconds,retained_candidates
3,0.05,0.9,0.6,0.4,17,55.29969709995203,10483
3,0.05,0.9,0.6,0.4,18,57.226110699994024,10483
3,0.05,0.9,0.6,0.4,19,55.10110989998793,10483
3,0.05,0.9,0.6,0.4,20,56.60778570000548,10483
3,0.1,0.8,0.3,0.1,1,734.0605951999896,30845
3,0.1,0.8,0.3,0.1,2,857.7251827999717,30845
3,0.1,0.8,0.3,0.1,3,854.8745391000411,30845
3,0.1,0.8,0.3,0.1,4,706.3488231000374,30845
3,0.1,0.8,0.3,0.1,5,669.8178664000006,30845
3,0.1,0.8,0.3,0.1,6,705.9641276000184,30845
3,0.1,0.8,0.3,0.1,7,690.3707000000286,30845
3,0.1,0.8,0.3,0.1,8,687.8732278000098,30845
3,0.1,0.8,0.3,0.1,9,645.4150269000093,30845
3,0.1,0.8,0.3,0.1,10,751.8840660999995,30845
3,0.1,0.8,0.3,0.1,11,752.7226392999873,30845
3,0.1,0.8,0.3,0.1,12,768.0894764999975,30845
3,0.1,0.8,0.3,0.1,13,705.6643908999977,30845
3,0.1,0.8,0.3,0.1,14,769.7962946000043,30845
3,0.1,0.8,0.3,0.1,15,696.1044515999965,30845
3,0.1,0.8,0.3,0.1,16,699.3055629999726,30845
3,0.1,0.8,0.3,0.1,17,678.1462547000265,30845
3,0.1,0.8,0.3,0.1,18,811.436983099964,30845
3,0.1,0.8,0.3,0.1,19,777.149697899993,30845
3,0.1,0.8,0.3,0.1,20,793.0387054999592,30845
3,0.1,0.8,0.6,0.4,1,418.5896203999873,23897
3,0.1,0.8,0.6,0.4,2,419.5612220999901,23897
3,0.1,0.8,0.6,0.4,3,418.18637130002026,23897
3,0.1,0.8,0.6,0.4,4,384.92364739999175,23897
3,0.1,0.8,0.6,0.4,5,375.1308451999794,23897
3,0.1,0.8,0.6,0.4,6,409.4177800999605,23897
3,0.1,0.8,0.6,0.4,7,410.9504186999984,23897
3,0.1,0.8,0.6,0.4,8,392.1790301000001,23897
3,0.1,0.8,0.6,0.4,9,387.84861310000997,23897
3,0.1,0.8,0.6,0.4,10,391.42675629997393,23897
3,0.1,0.8,0.6,0.4,11,397.6169384000241,23897
3,0.1,0.8,0.6,0.4,12,386.63544260000344,23897
3,0.1,0.8,0.6,0.4,13,390.5293426999706,23897
3,0.1,0.8,0.6,0.4,14,401.39534529997036,23897
3,0.1,0.8,0.6,0.4,15,399.55044739996083,23897
3,0.1,0.8,0.6,0.4,16,402.219174799975,23897
3,0.1,0.8,0.6,0.4,17,384.61335640004836,23897
3,0.1,0.8,0.6,0.4,18,394.92599709995557,23897
3,0.1,0.8,0.6,0.4,19,398.68368439999176,23897
3,0.1,0.8,0.6,0.4,20,402.76303039997583,23897
3,0.1,0.9,0.3,0.1,1,401.3748147000442,22458
3,0.1,0.9,0.3,0.1,2,389.89889120002044,22458
3,0.1,0.9,0.3,0.1,3,390.8500681000296,22458
3,0.1,0.9,0.3,0.1,4,404.1610999999684,22458
3,0.1,0.9,0.3,0.1,5,397.84271110000554,22458
3,0.1,0.9,0.3,0.1,6,384.4173615000327,22458
3,0.1,0.9,0.3,0.1,7,389.35676269995747,22458
3,0.1,0.9,0.3,0.1,8,393.5723457999993,22458
3,0.1,0.9,0.3,0.1,9,386.4643199000275,22458
3,0.1,0.9,0.3,0.1,10,373.2900466999854,22458
3,0.1,0.9,0.3,0.1,11,388.3834268999635,22458
3,0.1,0.9,0.3,0.1,12,411.2840431999648,22458
3,0.1,0.9,0.3,0.1,13,406.85164409998106,22458
3,0.1,0.9,0.3,0.1,14,365.2195047000423,22458
3,0.1,0.9,0.3,0.1,15,365.4989387000096,22458
3,0.1,0.9,0.3,0.1,16,377.01005219999934,22458
3,0.1,0.9,0.3,0.1,17,376.21513680001954,22458
3,0.1,0.9,0.3,0.1,18,385.85423480003374,22458
3,0.1,0.9,0.3,0.1,19,386.4560634000227,22458
3,0.1,0.9,0.3,0.1,20,417.3260358000407,22458
3,0.1,0.9,0.6,0.4,1,129.14613219996681,16282
3,0.1,0.9,0.6,0.4,2,134.1866749000037,16282
3,0.1,0.9,0.6,0.4,3,133.1311639000196,16282
3,0.1,0.9,0.6,0.4,4,132.3174311000039,16282
3,0.1,0.9,0.6,0.4,5,126.09609719994478,16282
3,0.1,0.9,0.6,0.4,6,132.35764240002027,16282
3,0.1,0.9,0.6,0.4,7,128.97195009997813,16282
3,0.1,0.9,0.6,0.4,8,129.54094169999007,16282
3,0.1,0.9,0.6,0.4,9,127.36879849998513,16282
3,0.1,0.9,0.6,0.4,10,134.45758069999283,16282
3,0.1,0.9,0.6,0.4,11,131.42769229999976,16282
3,0.1,0.9,0.6,0.4,12,133.94012749998365,16282
3,0.1,0.9,0.6,0.4,13,130.99480049998965,16282
3,0.1,0.9,0.6,0.4,14,134.89241999998922,16282
3,0.1,0.9,0.6,0.4,15,130.11179370002355,16282
3,0.1,0.9,0.6,0.4,16,129.00234810000984,16282
3,0.1,0.9,0.6,0.4,17,127.75215459999163,16282
3,0.1,0.9,0.6,0.4,18,138.54527050000615,16282
3,0.1,0.9,0.6,0.4,19,133.60186039999826,16282
3,0.1,0.9,0.6,0.4,20,133.041472300014,16282
4,0.05,0.8,0.3,0.1,1,1258.7306956000393,34392
4,0.05,0.8,0.3,0.1,2,1192.4173851000378,34392
4,0.05,0.8,0.3,0.1,3,1185.9795083000208,34392
4,0.05,0.8,0.3,0.1,4,1202.806738400017,34392
4,0.05,0.8,0.3,0.1,5,1129.9069890999817,34392
4,0.05,0.8,0.3,0.1,6,1104.3165143000078,34392
4,0.05,0.8,0.3,0.1,7,1096.1806640999857,34392
4,0.05,0.8,0.3,0.1,8,1155.765511900012,34392
4,0.05,0.8,0.3,0.1,9,1103.9258042000001,34392
4,0.05,0.8,0.3,0.1,10,1061.6150038999622,34392
4,0.05,0.8,0.3,0.1,11,1061.496967300016,34392
4,0.05,0.8,0.3,0.1,12,1077.7736760000116,34392
4,0.05,0.8,0.3,0.1,13,1092.7570182000054,34392
4,0.05,0.8,0.3,0.1,14,1097.676081899961,34392
4,0.05,0.8,0.3,0.1,15,1100.8810864000116,34392
4,0.05,0.8,0.3,0.1,16,1131.8252088999725,34392
4,0.05,0.8,0.3,0.1,17,1134.8699858000036,34392
4,0.05,0.8,0.3,0.1,18,1123.041015099967,34392
4,0.05,0.8,0.3,0.1,19,1150.9957493999973,34392
4,0.05,0.8,0.3,0.1,20,1143.3880140000256,34392
4,0.05,0.8,0.6,0.4,1,490.40942699997686,24189
4,0.05,0.8,0.6,0.4,2,506.8819553999929,24189
4,0.05,0.8,0.6,0.4,3,514.5214681000216,24189
4,0.05,0.8,0.6,0.4,4,502.88998059998266,24189
4,0.05,0.8,0.6,0.4,5,490.6456943000085,24189
4,0.05,0.8,0.6,0.4,6,501.29783579998184,24189
4,0.05,0.8,0.6,0.4,7,522.8600031999522,24189
4,0.05,0.8,0.6,0.4,8,522.3973410000326,24189
4,0.05,0.8,0.6,0.4,9,492.4122011999716,24189
4,0.05,0.8,0.6,0.4,10,487.2036034000339,24189
4,0.05,0.8,0.6,0.4,11,525.6706922999583,24189
4,0.05,0.8,0.6,0.4,12,523.7579056000104,24189
4,0.05,0.8,0.6,0.4,13,499.63655950000975,24189
4,0.05,0.8,0.6,0.4,14,485.43129020003835,24189
4,0.05,0.8,0.6,0.4,15,522.7728292999673,24189
4,0.05,0.8,0.6,0.4,16,521.7566518000094,24189
4,0.05,0.8,0.6,0.4,17,502.8295130999759,24189
4,0.05,0.8,0.6,0.4,18,506.82421649998287,24189
4,0.05,0.8,0.6,0.4,19,507.5424868000555,24189
4,0.05,0.8,0.6,0.4,20,510.1272418000153,24189
4,0.05,0.9,0.3,0.1,1,467.1011947999941,23921
4,0.05,0.9,0.3,0.1,2,459.48360389994923,23921
4,0.05,0.9,0.3,0.1,3,457.260713799973,23921
4,0.05,0.9,0.3,0.1,4,480.1524156999658,23921
4,0.05,0.9,0.3,0.1,5,491.12359870004,23921
4,0.05,0.9,0.3,0.1,6,480.947010200005,23921
4,0.05,0.9,0.3,0.1,7,457.70170760003384,23921
4,0.05,0.9,0.3,0.1,8,426.45366639998974,23921
4,0.05,0.9,0.3,0.1,9,423.4255035999813,23921
4,0.05,0.9,0.3,0.1,10,426.83619509998243,23921
4,0.05,0.9,0.3,0.1,11,421.17835489998106,23921
4,0.05,0.9,0.3,0.1,12,430.9296160999802,23921
4,0.05,0.9,0.3,0.1,13,447.7760861000279,23921
4,0.05,0.9,0.3,0.1,14,423.60878450004384,23921
4,0.05,0.9,0.3,0.1,15,419.5457208000007,23921
4,0.05,0.9,0.3,0.1,16,420.2373810999561,23921
4,0.05,0.9,0.3,0.1,17,430.5291025000042,23921
4,0.05,0.9,0.3,0.1,18,426.1069160999614,23921
4,0.05,0.9,0.3,0.1,19,427.06208719999995,23921
4,0.05,0.9,0.3,0.1,20,412.8421667999937,23921
4,0.05,0.9,0.6,0.4,1,402.65499559999444,15263
4,0.05,0.9,0.6,0.4,2,393.1049893000163,15263
4,0.05,0.9,0.6,0.4,3,401.06887279998045,15263
4,0.05,0.9,0.6,0.4,4,403.1018219999969,15263
4,0.05,0.9,0.6,0.4,5,381.24491589999525,15263
4,0.05,0.9,0.6,0.4,6,384.39320069999667,15263
4,0.05,0.9,0.6,0.4,7,389.2294832000043,15263
