J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
4,0.05,0.9,0.6,0.4,0.0,0.0,0.9024250976856382,0.9343039312747817,0.9311573110313985,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.0,0.025,0.8338598941551041,0.8904500635957567,0.8600441512766379,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.0,0.05,0.7129675210696186,0.8021746494288434,0.7321505842661491,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.025,0.0,0.8478012903093802,0.8999415947981289,0.8709295280333952,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.025,0.025,0.7848359676652401,0.8545981640601753,0.8049358033003933,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.025,0.05,0.6655110800835776,0.7649938170028184,0.6808362454722854,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.05,0.0,0.7321355121971495,0.8157334955323945,0.7470814279473876,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.05,0.025,0.6711207197270438,0.7687268327231743,0.6859261789047778,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.05,0.05,0.5633790664780832,0.6792172904550124,0.5734893460338483,0.048822936172990605
4,0.1,0.8,0.3,0.1,0.0,0.0,0.8015041777219117,0.8666837432785458,0.8455494264380801,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.0,0.025,0.760189381304959,0.8390938861635954,0.8044425412937808,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.0,0.05,0.6869817535263868,0.7868166341335335,0.7195762006468791,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.025,0.0,0.6964557099751991,0.7939184673314456,0.7267710050191287,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.025,0.025,0.6655468237353915,0.765353651189831,0.688513043843708,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.025,0.05,0.6000721978459453,0.7124708116444436,0.6207134362620322,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.05,0.0,0.5576272074059795,0.6813326321700278,0.5731647734283306,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.05,0.025,0.5286907229098058,0.6530426835008122,0.5397602464219775,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.05,0.05,0.4719522625784083,0.6021252281888251,0.4818338179771505,0.09892522089303624
4,0.1,0.8,0.6,0.4,0.0,0.0,0.8016839553910972,0.8642943519050698,0.8444400929603431,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.0,0.025,0.7202498919823597,0.8073397093185998,0.7523667822345488,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.0,0.05,0.602431188421217,0.7145914452600407,0.624022603673482,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.025,0.0,0.727465198904326,0.8088628809214337,0.7591479587314021,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.025,0.025,0.6493037210629445,0.7505340107215998,0.6744799912896594,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.025,0.05,0.5371012093178442,0.6580543506509802,0.5542279123684289,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.05,0.0,0.6031800739369757,0.7086841303317256,0.6243083109094218,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.05,0.025,0.533673689930624,0.6508955306961133,0.5533930011150755,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.05,0.05,0.4365496489058984,0.5626940032162637,0.4485135416026731,0.09941685732586292
4,0.1,0.9,0.3,0.1,0.0,0.0,0.9008454026512774,0.9350892205662898,0.9182886058336776,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.0,0.025,0.8598610968789635,0.9146781772585513,0.8839066392117361,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.0,0.05,0.7784124379806162,0.8687060031279181,0.7968765617723431,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.025,0.0,0.8001136371798147,0.8844296697150684,0.818891693586524,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.025,0.025,0.7839168784155399,0.8629463522474043,0.7960677613109117,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.025,0.05,0.7137958486330909,0.8153889982561662,0.7299707570896345,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.05,0.0,0.6386432854138347,0.7874428486602433,0.6502389385074894,0.0994230110351848
4,0.1,0.9,0.3,0.1,0.05,0.025,0.6268026834709566,0.7650301064788738,0.6343948969017236,0.0994230110351848
