J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
3,0.1,0.8,0.6,0.4,0.0,0.0,0.809863255261866,0.8684038777260239,0.8590845310938868,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.0,0.025,0.7333977954720226,0.8129382332551194,0.7755993011296785,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.0,0.05,0.6217396135276114,0.7240362791843191,0.6575160338821163,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.025,0.0,0.7466306353978779,0.8212018522592249,0.7860279482083986,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.025,0.025,0.6744633414867504,0.7647000162252882,0.7059239108297624,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.025,0.05,0.5674628260179387,0.6759872941697932,0.5939323203394024,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.05,0.0,0.6345054175184079,0.734677176070881,0.6679862408717405,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.05,0.025,0.5709103473897049,0.6784176076908145,0.5950329257919317,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.05,0.05,0.4788432954809082,0.5927939226374763,0.4949866290969305,0.09746505834707919
3,0.1,0.9,0.3,0.1,0.0,0.0,0.901332385016542,0.9344513979802451,0.9170420649483398,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.0,0.025,0.8630045405100021,0.911809821074449,0.8882937136813402,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.0,0.05,0.7833395441159365,0.8628078310022105,0.8128802059826348,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.025,0.0,0.8143828649088942,0.8874114997532937,0.8255417505417318,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.025,0.025,0.7893578782074386,0.8638935078724799,0.7987597411360785,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.025,0.05,0.7247403412682111,0.8137092533751588,0.7398912002746648,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.05,0.0,0.6789716227651609,0.7988412811172199,0.6850466320170192,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.05,0.025,0.6550823078438571,0.7746264120677889,0.6604630074982172,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.05,0.05,0.6052945921651784,0.7241043183513183,0.6102663466513727,0.09265677209350387
3,0.1,0.9,0.6,0.4,0.0,0.0,0.9016136482167038,0.9335292615084795,0.9371740471062199,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.0,0.025,0.8369754345591456,0.8972444757409714,0.867280610346551,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.0,0.05,0.7263561751492752,0.8257179380997293,0.7483725842223167,0.09655481344788563
