J,alpha,target,phi_E1,phi_E0,rho,min_g1,mean_g1,min_g2,fwer
3,0.1,0.8,0.3,0.1,0.15,0.8082425135874031,0.86926316173598,0.8487517441782151,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.3,0.8096673740244477,0.8713681381933291,0.8473665543686857,0.09636096479128553
3,0.1,0.8,0.6,0.4,-0.1,0.8105902568514071,0.8667253840679724,0.8648397458954084,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.0,0.809863255261866,0.8666247732866289,0.862838110071493,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.15,0.8101992735676316,0.867656795662444,0.8605522441594202,0.09746505834707919
3,0.1,0.8,0.6,0.4,0.3,0.8123404705376723,0.8701829821654188,0.8590845310938868,0.09746505834707919
3,0.1,0.9,0.3,0.1,-0.1,0.9017763206632822,0.9340107875298523,0.9186718547967608,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.0,0.901332385016542,0.9338831486781375,0.9180313786886534,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.15,0.9012806731853941,0.9341495617244429,0.9173825952825335,0.09265677209350387
3,0.1,0.9,0.3,0.1,0.3,0.9020056882946383,0.9350196472823529,0.9170420649483398,0.09265677209350387
3,0.1,0.9,0.6,0.4,-0.1,0.9014886603058427,0.9326663686598462,0.9382392114988474,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.0,0.9016136482167038,0.9326754910871118,0.9377881206460035,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.15,0.9025343039157051,0.9331931358301608,0.9373651479849101,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.3,0.9044236578398694,0.9343830319298473,0.9371740471062199,0.09655481344788563
4,0.05,0.8,0.3,0.1,-0.1,0.8067802707447084,0.87213112181557,0.8226710213744315,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.0,0.8048343582841158,0.8707554575782452,0.8200240633718399,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.15,0.8033273752007359,0.8696721976281433,0.8168271963485082,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.3,0.8036812474185192,0.8698485740540011,0.8145683489679454,0.048900418319468786
4,0.05,0.8,0.6,0.4,-0.1,0.8023167743393766,0.8704792128154082,0.8345248540769171,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.0,0.8012172163087107,0.8696063937567464,0.8319294419198489,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.15,0.8011440629777837,0.8694636016078078,0.8288436717185523,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.3,0.8029975542082854,0.8707789339496019,0.8267142836011159,0.04970127448346762
4,0.05,0.9,0.3,0.1,-0.1,0.9011738636156498,0.9355519917817932,0.9176661703022011,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.0,0.9009046213955433,0.935432360248371,0.9170594381740568,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.15,0.9007983708620056,0.9357480422313301,0.9164460375451295,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.3,0.9014213876152736,0.9367238981754454,0.9161253274158775,0.049966798801590606
4,0.05,0.9,0.6,0.4,-0.1,0.902568003703917,0.9331006925906247,0.932809095748453,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.0,0.9024250976856382,0.9331590483955814,0.9321372816557981,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.15,0.9026596857002989,0.9338762467359547,0.9314797706495075,0.048822936172990605
4,0.05,0.9,0.6,0.4,0.3,0.9038405697656439,0.9354488141539823,0.9311573110313985,0.048822936172990605
4,0.1,0.8,0.3,0.1,-0.1,0.8007399624444782,0.8643237986503797,0.8504897180056306,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.0,0.8015041777219117,0.8644602175874668,0.8487967651292204,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.15,0.8030140896525959,0.8658857368142053,0.8468344661316866,0.09892522089303624
4,0.1,0.8,0.3,0.1,0.3,0.8050695148656225,0.8689072689696247,0.8455494264380801,0.09892522089303624
4,0.1,0.8,0.6,0.4,-0.1,0.802413310586675,0.8625204920553452,0.851279101323516,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.0,0.8016839553910972,0.8623344294452886,0.8489560033342921,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.15,0.8022579808115451,0.8634187675614438,0.8462467730471341,0.09941685732586292
4,0.1,0.8,0.6,0.4,0.3,0.804950073559615,0.866254274364851,0.8444400929603431,0.09941685732586292
4,0.1,0.9,0.3,0.1,-0.1,0.9012247519198944,0.9343189585966368,0.9199253715413575,0.0994230110351848
