J,alpha,target,phi_E1,phi_E0,method,total_n,sample_ratio_to_tabata,power_excess,min_g1,mean_g1,min_g2,source
2,0.1,0.8,0.3,0.1,ROED-EA,90,1.0,0.02152508707530787,0.8215250870753079,0.8783543470902649,0.854459714248495,local exact engine
2,0.1,0.8,0.3,0.1,ROED-B,87,0.9666666666666667,0.020432576362097832,0.8204325763620979,0.8745022367186547,0.8449718499003431,local exact engine
2,0.1,0.8,0.3,0.1,ROED,86,0.9555555555555556,0.02016616728450149,0.8201661672845015,0.8741441483044272,0.8530463158819609,local exact engine
2,0.1,0.8,0.6,0.4,MERIT,108,0.9642857142857143,0.004669999999999952,0.80467,0.858765,0.84205,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.1,0.8,0.6,0.4,Tabata,112,1.0,0.005826647056828116,0.8058266470568282,0.8675574105143188,0.8388225357543333,local exact engine
2,0.1,0.8,0.6,0.4,ROED-EA,112,1.0,0.008288054221536001,0.808288054221536,0.8673695304016481,0.8258720158324229,local exact engine
2,0.1,0.8,0.6,0.4,ROED-B,107,0.9553571428571429,0.010579304007179102,0.8105793040071791,0.8687315511225285,0.8426297265553365,local exact engine
2,0.1,0.8,0.6,0.4,ROED,107,0.9553571428571429,0.010579304007179102,0.8105793040071791,0.8687315511225285,0.8426297265553365,local exact engine
2,0.1,0.9,0.3,0.1,MERIT,120,1.0,0.003589999999999982,0.90359,0.9347,0.93845,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.1,0.9,0.3,0.1,Tabata,120,1.0,0.005581514417285494,0.9055815144172855,0.9391386087964616,0.9434856223263457,local exact engine
2,0.1,0.9,0.3,0.1,ROED-EA,118,0.9833333333333333,0.0046694934971777124,0.9046694934971777,0.9349055802834826,0.9159627694792207,local exact engine
2,0.1,0.9,0.3,0.1,ROED-B,114,0.95,0.0002561342510037923,0.9002561342510038,0.933303579447525,0.9159627694792207,local exact engine
2,0.1,0.9,0.3,0.1,ROED,114,0.95,0.0002561342510037923,0.9002561342510038,0.933303579447525,0.9159627694792207,local exact engine
2,0.1,0.9,0.6,0.4,MERIT,148,0.9866666666666667,0.0023699999999999832,0.90237,0.9356883333333333,0.95137,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.1,0.9,0.6,0.4,Tabata,150,1.0,0.005842646197298573,0.9058426461972986,0.9378334156900167,0.9417596676286344,local exact engine
2,0.1,0.9,0.6,0.4,ROED-EA,148,0.9866666666666667,0.010003010749813912,0.9100030107498139,0.9391379252565706,0.9323193982055971,local exact engine
2,0.1,0.9,0.6,0.4,ROED-B,144,0.96,0.0023764719232340914,0.9023764719232341,0.935207499003455,0.9311900458956925,local exact engine
2,0.1,0.9,0.6,0.4,ROED,143,0.9533333333333334,0.004093854717512335,0.9040938547175124,0.935823406936585,0.937521710696738,local exact engine
3,0.05,0.8,0.3,0.1,MERIT,153,0.864406779661017,-0.00019000000000002348,0.79981,0.867646,0.84687,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.05,0.8,0.3,0.1,Tabata,177,1.0,0.029198187850957846,0.8291981878509579,0.8860076752424139,0.8495627298427118,local exact engine
